id_airbnb;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;availability_365
697858;Cosy double room Madrid;3571619;Fernando;Tetuán;Bellas Vistas;4.045.519;-3.706;Private room;35;1;0
704155;Apartment  in the center of Madrid;3606346;;Centro;Embajadores;4.041.389;-370.461;Entire home/apt;9142;3;0
709208;Apartment in the heart of Madrid;3648882;Luz;Centro;Sol;4.041.697;-370.732;Entire home/apt;69;2;198
710156;AIRPORT/IFEMA INDIVIDUAL BATHROOM;3654886;Sara;Barajas;Alameda de Osuna;404.523;-359.142;Private room;31;1;44
716292;Just in the centre: Malasaña/Chueca;3691303;Paloma;Centro;Universidad;4.042.616;-370.263;Entire home/apt;81;10;258
717313;Unique stylish near Royal Palace;3698406;Arman;Centro;Palacio;4.041.222;-371.365;Entire home/apt;85;2;298
721377;40M2 LOFT GREAT FOR STUDENT 100M WF;3724500;Lucrecia;Fuencarral - El Pardo;Valverde;4.050.069;-368.994;Entire home/apt;50;7;306
723088;LOVELY FLAT IN PLAZA DE CHUECA;2555202;Norah;Centro;Justicia;4.042.536;-369.887;Entire home/apt;75;3;328
730347;APARTMENT FOR 6 PEOPLE LOCATED IN PLAZA MAYOR;3797913;Rocio;Centro;Sol;4.041.534;-370.757;Entire home/apt;140;2;227
730502;APARTMENT FOR 6 PEOPLE LOCATED IN THE CITYCENTRE;3797913;Rocio;Centro;Palacio;4.041.826;-371.244;Entire home/apt;79;1;333
730746;Beautiful flat in the center!;2425572;Jorge;Centro;Universidad;4.042.881;-370.401;Entire home/apt;130;3;267
733365;A place for your accommodation;3821608;Charo;Chamberí;Arapiles;4.043.653;-370.421;Private room;27;2;318
734053;Independent room for students;3825783;Elisa;Retiro;Ibiza;4.041.731;-36.731;Private room;50;30;365
747873;Stylish apartment in the city center;1625657;Matias;Centro;Universidad;4.042.329;-370.833;Entire home/apt;69;1;232
748854;Host family in the center of Madrid;1888816;Margarita;Arganzuela;Acacias;4.040.333;-37.025;Private room;18;5;180
49173393;HABITACION PRIVADA DOBLE CENTRO MADRID;319616632;Fabrizzio;Centro;Universidad;4.042.049;-370.261;Private room;18;6;342
